distance:990, material: 2, angle: 34
distance:61, material: 6, angle: 34
distance:69, material: 6, angle: 34
distance:90, material: 0, angle: 57
distance:1023, material: 0, angle: 0
distance:654, material: 2, angle: 34
distance:1023, material: 0, angle: 0
distance:517, material: 2, angle: 34
distance:81, material: 6, angle: 34
distance:487, material: 2, angle: 34
distance:1003, material: 2, angle: 34
distance:47, material: 7, angle: 22
distance:764, material: 2, angle: 34
distance:69, material: 6, angle: 29
distance:54, material: 6, angle: 34
distance:1023, material: 0, angle: 0
distance:408, material: 2, angle: 34
distance:1023, material: 0, angle: 0
distance:339, material: 2, angle: 34
distance:1023, material: 0, angle: 0
distance:53, material: 6, angle: 34
distance:1023, material: 0, angle: 0
distance:58, material: 6, angle: 34
distance:80, material: 0, angle: 16
distance:40, material: 0, angle: 34
distance:79, material: 6, angle: 34
distance:1023, material: 0, angle: 0
distance:75, material: 6, angle: 34
distance:1023, material: 0, angle: 0
distance:46, material: 0, angle: 34
distance:76, material: 0, angle: 60
distance:849, material: 2, angle: 34
distance:94, material: 0, angle: 16
distance:310, material: 2, angle: 34
distance:85, material: 0, angle: 33
distance:56, material: 6, angle: 34
distance:989, material: 2, angle: 34
distance:1023, material: 0, angle: 0
distance:1023, material: 0, angle: 0
distance:941, material: 2, angle: 34
distance:75, material: 6, angle: 34
distance:40, material: 0, angle: 34
distance:61, material: 6, angle: 34
distance:121, material: 6, angle: 36
distance:86, material: 6, angle: 34
distance:43, material: 6, angle: 34
distance:120, material: 6, angle: 34
distance:58, material: 6, angle: 34
distance:1023, material: 0, angle: 0
distance:63, material: 5, angle: 50
distance:686, material: 2, angle: 34
distance:48, material: 5, angle: 34
distance:59, material: 6, angle: 51
distance:94, material: 6, angle: 34
distance:75, material: 0, angle: 60
distance:123, material: 0, angle: 16
distance:48, material: 7, angle: 41
distance:150, material: 6, angle: 41
distance:59, material: 6, angle: 34
distance:1023, material: 0, angle: 0
distance:1023, material: 0, angle: 0
distance:58, material: 6, angle: 34
distance:469, material: 2, angle: 34
distance:651, material: 2, angle: 34
distance:351, material: 2, angle: 34
distance:81, material: 0, angle: 16
distance:1023, material: 0, angle: 0
distance:837, material: 2, angle: 34
distance:50, material: 6, angle: 34
distance:1023, material: 0, angle: 0
distance:146, material: 6, angle: 41
distance:73, material: 6, angle: 56
distance:875, material: 2, angle: 34
distance:815, material: 2, angle: 34
distance:46, material: 6, angle: 49
distance:1023, material: 0, angle: 0
distance:73, material: 6, angle: 34
distance:64, material: 6, angle: 16
distance:84, material: 6, angle: 30
distance:134, material: 6, angle: 34
distance:69, material: 6, angle: 13
distance:86, material: 6, angle: 12
distance:68, material: 6, angle: 34
distance:72, material: 6, angle: 20
distance:48, material: 6, angle: 34
distance:45, material: 6, angle: 34
distance:460, material: 2, angle: 34
distance:46, material: 6, angle: 34
distance:83, material: 6, angle: 34
distance:1023, material: 0, angle: 0
distance:90, material: 0, angle: 60
distance:58, material: 6, angle: 34
distance:76, material: 0, angle: 16
distance:53, material: 6, angle: 34
distance:58, material: 6, angle: 34
distance:891, material: 2, angle: 34
distance:78, material: 6, angle: 50
distance:409, material: 2, angle: 34
distance:396, material: 2, angle: 34
distance:68, material: 6, angle: 34
distance:66, material: 5, angle: 12
distance:753, material: 2, angle: 34
distance:55, material: 6, angle: 34
distance:1023, material: 0, angle: 0
distance:1023, material: 0, angle: 0
distance:1023, material: 0, angle: 0
distance:80, material: 6, angle: 34
distance:370, material: 2, angle: 34
distance:78, material: 6, angle: 45
distance:91, material: 6, angle: 30
distance:1023, material: 0, angle: 0
distance:58, material: 6, angle: 34
distance:36, material: 6, angle: 59
distance:310, material: 2, angle: 34
distance:73, material: 6, angle: 34
distance:52, material: 6, angle: 34
distance:83, material: 6, angle: 34
distance:404, material: 2, angle: 34
distance:53, material: 6, angle: 34
distance:1023, material: 0, angle: 0
distance:758, material: 2, angle: 34
distance:76, material: 0, angle: 16
distance:1023, material: 0, angle: 0
distance:1023, material: 0, angle: 0
distance:708, material: 2, angle: 34
distance:59, material: 6, angle: 34
distance:1023, material: 0, angle: 0
distance:79, material: 6, angle: 34
distance:69, material: 6, angle: 34
distance:121, material: 6, angle: 34
distance:72, material: 6, angle: 16
distance:1023, material: 0, angle: 0
distance:670, material: 2, angle: 34
distance:1023, material: 0, angle: 0
distance:71, material: 6, angle: 34
distance:47, material: 5, angle: 12
distance:82, material: 6, angle: 34
distance:75, material: 5, angle: 49
distance:493, material: 2, angle: 34
distance:93, material: 0, angle: 60
distance:66, material: 6, angle: 34
distance:81, material: 5, angle: 49
distance:1023, material: 0, angle: 0
distance:735, material: 2, angle: 34
distance:58, material: 6, angle: 34
distance:71, material: 6, angle: 34
distance:410, material: 2, angle: 34
distance:918, material: 2, angle: 34
distance:41, material: 6, angle: 34
distance:1023, material: 0, angle: 0
distance:1023, material: 0, angle: 0
distance:565, material: 2, angle: 34
distance:73, material: 6, angle: 0
distance:95, material: 6, angle: 49
distance:1023, material: 0, angle: 0
distance:85, material: 0, angle: 33
distance:1023, material: 0, angle: 0
distance:45, material: 6, angle: 34
distance:1023, material: 0, angle: 0
distance:1023, material: 0, angle: 0
distance:60, material: 6, angle: 34
distance:1023, material: 0, angle: 0
distance:1023, material: 0, angle: 0
distance:1023, material: 0, angle: 0
distance:52, material: 6, angle: 34
distance:980, material: 2, angle: 34
distance:466, material: 2, angle: 34
distance:56, material: 6, angle: 34
distance:74, material: 6, angle: 34
distance:1023, material: 0, angle: 0
distance:77, material: 6, angle: 16
distance:76, material: 6, angle: 32
distance:72, material: 6, angle: 34
distance:70, material: 6, angle: 34
distance:95, material: 6, angle: 16
distance:72, material: 6, angle: 34
distance:1023, material: 0, angle: 0
distance:57, material: 6, angle: 0
distance:1023, material: 0, angle: 0
distance:121, material: 0, angle: 16
distance:113, material: 6, angle: 34
